memberID,trainerID,startDate,endDate,duration
MEM024,TRN035,2025-03-06,2025-02-05,1.79
MEM022,TRN020,2025-01-30,2025-01-20,1.27
MEM069,TRN049,2025-01-25,2025-01-22,2.14
MEM056,TRN042,2025-01-25,2025-02-02,2.38
MEM033,TRN035,2025-03-23,2025-03-05,2.6
MEM036,TRN050,2025-02-16,2025-03-25,1.4
MEM020,TRN018,2025-02-01,2025-02-05,1.33
MEM083,TRN017,2025-03-15,2025-01-07,1.21
MEM099,TRN024,2025-01-04,2025-01-14,2.27
MEM081,TRN003,2025-02-03,2025-01-03,2.41
MEM062,TRN032,2025-02-26,2025-03-20,1.06
MEM098,TRN035,2025-01-29,2025-02-27,2.87
MEM073,TRN038,2025-03-23,2025-03-09,1.1
MEM026,TRN013,2025-03-27,2025-02-16,2.08
MEM066,TRN047,2025-01-21,2025-02-22,2.42
MEM073,TRN025,2025-01-01,2025-03-23,2.74
MEM073,TRN009,2025-01-06,2025-01-16,2.43
MEM040,TRN004,2025-03-12,2025-02-03,2.6
MEM017,TRN014,2025-01-18,2025-01-21,1.68
MEM001,TRN037,2025-03-27,2025-03-01,2.63
MEM089,TRN034,2025-02-20,2025-02-22,1.16
MEM061,TRN011,2025-02-07,2025-01-05,2.79
MEM043,TRN041,2025-02-27,2025-03-12,2.1
MEM042,TRN003,2025-01-02,2025-02-08,2.63
MEM025,TRN028,2025-02-06,2025-02-27,1.9
MEM039,TRN029,2025-01-13,2025-01-13,2.29
MEM035,TRN009,2025-02-21,2025-03-07,2.05
MEM003,TRN003,2025-01-03,2025-03-07,2.46
MEM044,TRN025,2025-03-25,2025-01-25,1.16
MEM051,TRN034,2025-02-23,2025-02-08,1.12
MEM094,TRN012,2025-02-19,2025-02-14,1.49
MEM098,TRN042,2025-01-09,2025-01-12,1.32
MEM012,TRN009,2025-01-08,2025-03-25,2.74
MEM019,TRN015,2025-03-16,2025-02-04,1.44
